,block_number,Ave._Transaction_Size
262,15669264,472.536231884058
263,15669265,263.2857142857143
264,15669266,363.6522911051213
265,15669267,461.5652173913044
266,15669268,325.3591836734694
267,15669269,528.8636363636364
268,15669270,363.1509433962264
269,15669271,277.3125
270,15669272,274.4700460829493
271,15669273,490.2608695652174
272,15669274,262.88121546961327
273,15669275,463.235807860262
274,15669276,322.04347826086956
275,15669277,361.53061224489795
276,15669278,292.63576158940396
277,15669279,297.1083916083916
278,15669280,252.6060606060606
279,15669281,467.9404761904762
280,15669282,383.9024390243902
281,15669283,333.76377952755905
282,15669284,392.55121951219513
283,15669285,331.4017857142857
284,15669286,394.8
285,15669287,443.6288088642659
286,15669288,540.7874015748032
287,15669289,348.9166666666667
288,15669290,348.66357308584685
289,15669291,389.4496644295302
290,15669292,509.19463087248323
291,15669293,391.65
292,15669294,778.459807073955
293,15669295,352.2881355932203
294,15669296,486.03973509933775
295,15669297,751.7619047619048
296,15669298,288.9881796690307
297,15669299,394.140243902439
298,15669300,509.4143302180685
299,15669301,286.5806451612903
300,15669302,316.64204545454544
301,15669303,378.7286432160804
302,15669304,952.5227272727273
303,15669305,355.8589420654912
304,15669306,301.25129533678756
305,15669307,378.32462686567163
306,15669308,776.1159420289855
307,15669309,717.1694915254237
308,15669310,283.66733067729086
309,15669311,310.0984848484849
310,15669312,286.6304347826087
311,15669313,557.3458646616541
312,15669314,389.08024691358025
313,15669315,303.27272727272725
314,15669316,504.7579617834395
315,15669317,431.4357142857143
316,15669318,271.46120689655174
317,15669319,551.6754966887418
318,15669320,254.2625
319,15669321,351.70588235294116
320,15669322,208.21983914209116
321,15669323,781.1428571428571
322,15669324,377.7241379310345
323,15669325,208.5909090909091
324,15669326,449.66425992779784
325,15669327,427.16184971098266
326,15669328,429.9039548022599
327,15669329,410.40372670807454
328,15669330,317.544
329,15669331,395.3538461538462
330,15669332,537.2571428571429
331,15669333,373.44919786096256
332,15669334,388.5777777777778
333,15669335,321.83216783216784
334,15669336,575.8415300546449
335,15669337,308.4909090909091
336,15669338,665.0620689655173
337,15669339,374.2692307692308
338,15669340,303.5075376884422
339,15669341,491.4887892376682
340,15669342,267.6666666666667
341,15669343,342.65676567656766
342,15669344,683.0068493150685
343,15669345,496.84177215189874
344,15669346,540.3684210526316
345,15669347,536.6690909090909
346,15669348,460.7345679012346
347,15669349,713.2844827586207
348,15669350,429.67391304347825
349,15669351,546.0
350,15669352,378.4981132075472
351,15669353,448.3125
352,15669354,478.3958333333333
353,15669355,615.3458333333333
354,15669356,398.4203821656051
355,15669357,873.8323353293413
356,15669358,384.20952380952383
357,15669359,327.2953020134228
358,15669360,696.1034482758621
359,15669361,456.87603305785126
360,15669362,732.929347826087
361,15669363,402.3205128205128
362,15669364,725.96
363,15669365,379.54846335697397
364,15669366,381.9872340425532
365,15669367,516.1224489795918
366,15669368,460.5962441314554
367,15669369,384.5342465753425
368,15669370,500.496
369,15669371,374.9261363636364
370,15669372,296.70873786407765
